Season,Hour_of_week,Pre_COVID,COVID,Difference
Autumn,4,3690.0852459016387,3782.792916666666,92.70767076502716
Autumn,5,3818.0540983606547,3913.8487500000006,95.79465163934583
Autumn,6,4257.319672131149,4337.625833333333,80.30616120218383
Autumn,7,4957.842950819673,4990.708749999999,32.865799180325666
Autumn,8,5275.623114754098,5335.642916666667,60.019801912568255
Autumn,9,5303.542131147541,5334.309166666667,30.767035519125784
Autumn,10,5219.160983606555,5079.1025,-140.05848360655546
Autumn,11,5140.393114754101,4843.095416666668,-297.29769808743276
Autumn,12,5092.6293442622955,4719.403749999999,-373.2255942622969
Autumn,13,5069.0137704918025,4633.608749999999,-435.40502049180304
Autumn,14,5097.454590163935,4656.505833333334,-440.94875683060127
Autumn,15,5129.306885245903,4714.35875,-414.94813524590245
Autumn,16,5268.49344262295,4963.591666666667,-304.901775956283
Autumn,17,5528.244098360655,5429.506249999999,-98.73784836065533
Autumn,18,5795.2778688524595,5915.2475,119.9696311475409
Autumn,19,5757.247868852459,5922.212500000001,164.9646311475417
Autumn,20,5502.765737704915,5624.365833333333,121.60009562841788
Autumn,21,5180.990163934425,5297.170416666667,116.18025273224157
Autumn,22,4818.605409836065,4948.967083333334,130.3616734972693
Autumn,23,4580.572950819673,4662.7074999999995,82.13454918032676
Autumn,24,4811.286774193548,4763.833913043479,-47.45286115006911
Autumn,25,4400.901129032258,4424.642608695652,23.741479663393875
Autumn,26,4085.4046774193557,4130.004347826087,44.59967040673109
Autumn,27,3881.9066129032276,3919.95347826087,38.04686535764222
Autumn,28,3841.9303225806443,3870.960434782608,29.030112201963675
Autumn,29,3996.6469354838714,4007.3104347826093,10.663499298737861
Autumn,30,4486.303387096774,4474.522173913043,-11.78121318373087
Autumn,31,5229.188225806452,5166.604782608696,-62.583443197755514
Autumn,32,5510.789677419352,5452.007391304347,-58.78228611500526
Autumn,33,5491.818064516128,5402.175217391305,-89.64284712482367
Autumn,34,5399.467096774196,5126.7195652173905,-272.74753155680537
Autumn,35,5321.471129032258,4899.512173913043,-421.9589551192157
Autumn,36,5283.973064516132,4742.165652173913,-541.8074123422184
Autumn,37,5290.14677419355,4698.513913043478,-591.6328611500721
Autumn,38,5356.428870967743,4750.291304347827,-606.1375666199165
Autumn,39,5402.745645161292,4825.731304347827,-577.0143408134645
Autumn,40,5543.98370967742,5051.429130434783,-492.5545792426374
Autumn,41,5765.64629032258,5462.1469565217385,-303.49933380084167
Autumn,42,6009.610161290322,5899.264347826088,-110.3458134642342
Autumn,43,5974.1120967741945,5908.120434782608,-65.99166199158662
Autumn,44,5712.640483870968,5609.431739130435,-103.2087447405329
Autumn,45,5377.075161290323,5267.25652173913,-109.81863955119297
Autumn,46,4984.930967741935,4927.973478260869,-56.95748948106575
Autumn,47,4709.692903225807,4635.516956521738,-74.17594670406834
Autumn,48,4893.640967741935,4766.912608695652,-126.728359046283
Autumn,49,4471.281612903228,4438.115217391305,-33.16639551192293
Autumn,50,4145.618870967741,4153.850434782609,8.231563814868423
Autumn,51,3948.3991935483873,3944.7321739130434,-3.667019635343877
Autumn,52,3901.039193548387,3886.9486956521737,-14.090497896213492
Autumn,53,4045.743548387097,4012.3908695652176,-33.35267882187918
Autumn,54,4540.897741935483,4431.869565217391,-109.02817671809225
Autumn,55,5288.91435483871,5130.446521739131,-158.46783309957937
Autumn,56,5563.823709677421,5416.778260869564,-147.0454488078567
Autumn,57,5571.2943548387075,5312.389565217392,-258.9047896213151
Autumn,58,5472.220806451612,4993.8608695652165,-478.3599368863952
Autumn,59,5407.662741935486,4754.78347826087,-652.8792636746166
Autumn,60,5384.5670967741935,4563.850434782608,-820.7166619915852
Autumn,61,5404.966290322581,4552.680434782609,-852.2858555399716
Autumn,62,5477.101129032259,4605.2013043478255,-871.899824684434
Autumn,63,5540.491935483869,4716.563478260871,-823.9284572229981
Autumn,64,5677.23935483871,5007.551304347825,-669.688050490885
Autumn,65,5866.298870967741,5438.535217391303,-427.7636535764377
Autumn,66,6062.639677419356,5907.9256521739135,-154.71402524544283
Autumn,67,5991.852096774195,5924.647826086957,-67.20427068723802
Autumn,68,5732.802903225808,5644.918260869565,-87.8846423562436
Autumn,69,5380.218387096775,5301.621739130435,-78.59664796633933
Autumn,70,4981.013387096774,4978.1178260869565,-2.8955610098173565
Autumn,71,4720.691451612902,4683.740869565217,-36.9505820476852
Autumn,72,4893.908387096775,4798.061739130435,-95.84664796634024
Autumn,73,4465.941612903228,4456.988260869565,-8.953352033662668
Autumn,74,4155.380967741936,4157.603913043477,2.2229453015415856
Autumn,75,3958.518870967742,3958.6178260869556,0.09895511921376965
Autumn,76,3916.1043548387083,3913.1804347826082,-2.923920056100087
Autumn,77,4072.538225806452,4055.914347826088,-16.623877980363886
Autumn,78,4571.981612903223,4483.986086956522,-87.99552594670149
Autumn,79,5310.682258064515,5151.213913043479,-159.46834502103593
Autumn,80,5575.9654838709685,5445.995217391303,-129.97026647966504
Autumn,81,5571.14870967742,5429.500434782608,-141.64827489481195
Autumn,82,5469.743225806451,5133.973043478261,-335.77018232818955
Autumn,83,5390.746451612904,4852.247826086957,-538.4986255259473
Autumn,84,5359.496612903225,4702.464782608695,-657.0318302945298
Autumn,85,5351.700967741935,4678.87695652174,-672.8240112201947
Autumn,86,5414.360483870969,4776.195652173913,-638.1648316970559
Autumn,87,5456.025161290321,4921.956086956522,-534.0690743337991
Autumn,88,5587.751612903226,5179.429565217391,-408.32204768583415
Autumn,89,5775.926290322581,5550.690869565218,-225.2354207573626
Autumn,90,5979.586290322583,5951.570869565217,-28.015420757365973
Autumn,91,5944.948548387095,5952.084347826087,7.135799438991853
Autumn,92,5708.557419354836,5680.910434782609,-27.646984572227666
Autumn,93,5369.66,5351.568260869564,-18.0917391304356
Autumn,94,4977.348064516129,5007.772173913045,30.42410939691581
Autumn,95,4711.2395161290315,4720.445652173914,9.206136044882442
Autumn,96,4911.624354838708,4824.721739130435,-86.90261570827352
Autumn,97,4474.131129032258,4475.955652173913,1.824523141654936
Autumn,98,4162.704999999999,4176.643478260869,13.938478260870397
Autumn,99,3950.4788709677414,3964.468695652173,13.989824684431824
Autumn,100,3914.9985483870964,3918.2078260869566,3.209277699860195
Autumn,101,4054.0096774193553,4039.170434782608,-14.839242636747258
Autumn,102,4502.5327419354835,4438.372173913043,-64.1605680224402
Autumn,103,5196.151451612902,5056.783478260871,-139.36797335203119
Autumn,104,5453.189193548386,5332.36,-120.82919354838668
Autumn,105,5447.344516129031,5252.411739130434,-194.93277699859664
Autumn,106,5360.442903225806,4937.865652173912,-422.57725105189365
Autumn,107,5297.721774193548,4676.459565217392,-621.2622089761562
Autumn,108,5267.834193548386,4601.441739130434,-666.3924544179517
Autumn,109,5262.635,4570.652173913044,-691.9828260869563
Autumn,110,5316.419838709677,4586.89347826087,-729.5263604488064
Autumn,111,5351.057096774194,4691.96304347826,-659.0940532959339
Autumn,112,5457.40693548387,4965.089565217391,-492.317370266479
Autumn,113,5630.79112903226,5385.460869565219,-245.3302594670413
Autumn,114,5799.439193548389,5802.2,2.7608064516107333
Autumn,115,5745.020806451615,5805.851304347825,60.830497896210545
Autumn,116,5514.654516129031,5527.795217391305,13.140701262273979
Autumn,117,5211.098064516129,5212.588695652173,1.490631136043703
Autumn,118,4883.006129032257,4921.821304347826,38.81517531556892
Autumn,119,4689.944838709677,4678.268695652174,-11.676143057503396
Autumn,120,4878.138360655737,4780.451739130434,-97.68662152530305
Autumn,121,4435.095409836066,4382.572608695652,-52.52280114041423
Autumn,122,4094.934098360656,4070.043478260869,-24.890620099787157
Autumn,123,3862.6660655737705,3833.048260869565,-29.617804704205355
Autumn,124,3773.2521311475416,3741.7234782608693,-31.528652886672262
Autumn,125,3796.9522950819673,3749.5547826086968,-47.39751247327058
Autumn,126,3982.1419672131146,3919.0782608695654,-63.063706343549256
Autumn,127,4292.485737704918,4221.520434782608,-70.96530292231
Autumn,128,4496.721639344266,4385.805217391305,-110.91642195296117
Autumn,129,4652.427868852458,4440.292608695651,-212.1352601568069
Autumn,130,4631.731967213114,4246.968695652174,-384.76327156094067
Autumn,131,4545.612622950821,4076.7739130434784,-468.8387099073425
Autumn,132,4487.63704918033,3925.699565217392,-561.9374839629381
Autumn,133,4458.469344262295,3848.011739130434,-610.4576051318609
Autumn,134,4485.066393442623,3940.4595652173916,-544.6068282252313
Autumn,135,4555.147377049181,4085.909130434782,-469.23824661439903
Autumn,136,4732.072131147542,4406.971739130435,-325.10039201710697
Autumn,137,4988.268688524592,4904.3673913043485,-83.90129722024358
Autumn,138,5269.03213114754,5406.366956521741,137.3348253742006
Autumn,139,5253.394590163934,5445.104347826086,191.7097576621527
Autumn,140,5042.412786885245,5184.740434782608,142.32764789736302
Autumn,141,4809.049508196722,4939.438695652174,130.38918745545197
Autumn,142,4577.344426229505,4729.168695652174,151.8242694226692
Autumn,143,4465.148196721313,4544.536086956521,79.38789023520803
Autumn,144,4691.194516129032,4674.2699999999995,-16.92451612903278
Autumn,145,4284.839999999999,4344.261304347825,59.42130434782575
Autumn,146,3952.8280645161285,4033.160869565217,80.33280504908862
Autumn,147,3719.089032258064,3801.9482608695653,82.8592286115013
Autumn,148,3621.021269841271,3687.913043478261,66.89177363698991
Autumn,149,3612.513968253968,3686.8517391304345,74.3377708764665
Autumn,150,3720.36,3785.388695652172,65.02869565217179
Autumn,151,3925.107142857142,4016.6356521739135,91.5285093167713
Autumn,152,4078.702063492063,4165.477826086956,86.77576259489297
Autumn,153,4250.697460317459,4217.851739130434,-32.84572118702545
Autumn,154,4281.528412698413,4102.967391304348,-178.5610213940654
Autumn,155,4261.354920634923,3913.4313043478255,-347.92361628709705
Autumn,156,4237.275079365078,3837.4978260869566,-399.77725327812186
Autumn,157,4236.845396825397,3837.2960869565222,-399.54930986887484
Autumn,158,4286.943174603175,3911.496521739131,-375.44665286404415
Autumn,159,4390.2095238095235,4071.9004347826085,-318.309089026915
Autumn,160,4590.498571428571,4381.283478260869,-209.21509316770243
Autumn,161,4903.52285714286,4902.651739130436,-0.8711180124237217
Autumn,162,5250.73888888889,5464.741304347827,214.00241545893732
Autumn,163,5275.568888888888,5522.002173913043,246.43328502415534
Autumn,164,5071.767777777777,5248.834347826087,177.0665700483096
Autumn,165,4819.3822222222225,4966.396956521739,147.01473429951693
Autumn,166,4534.727142857144,4706.631739130435,171.90459627329074
Autumn,167,4361.934285714286,4469.444347826087,107.51006211180174
Winter,0,5122.677272727272,5015.330952380951,-107.34632034632068
Winter,1,4754.621666666667,4698.835238095238,-55.78642857142859
Winter,2,4401.325151515153,4398.416666666667,-2.908484848486296
Winter,3,4142.463939393941,4147.333333333333,4.869393939392467
Winter,4,4042.4843939393954,4054.767142857143,12.28274891774754
Winter,5,4115.678181818182,4120.886190476191,5.208008658009021
Winter,6,4566.586515151514,4517.887619047619,-48.698896103894185
Winter,7,5531.852272727274,5340.731904761905,-191.12036796536904
Winter,8,6197.046969696972,6028.820952380953,-168.22601731601935
Winter,9,6335.180151515151,6330.009047619048,-5.171103896102977
Winter,10,6200.683636363638,6052.99761904762,-147.68601731601757
Winter,11,5944.010909090909,5678.651428571428,-265.3594805194807
Winter,12,5791.296969696968,5444.308571428572,-346.98839826839594
